study,task,controller,configuration,query_ordinal,condition,success,primitive_steps,prediction_blocks
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",0,clean,1,9,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",0,prefix_a,1,7,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",0,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",1,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",1,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",1,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",2,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",2,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",2,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",3,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",3,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",3,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",4,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",4,prefix_a,1,8,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",4,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",5,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",5,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",5,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",6,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",6,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",6,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",7,clean,1,12,27006
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",7,prefix_a,1,13,27006
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",7,prefix_b,1,13,27006
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",8,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",8,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",8,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",9,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",9,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",9,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",10,clean,1,18,36008
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",10,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",10,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",11,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",11,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",11,prefix_b,1,3,9002
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",12,clean,1,8,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",12,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",12,prefix_b,1,10,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",13,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",13,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",13,prefix_b,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",14,clean,1,8,18004
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",14,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",14,prefix_b,1,13,27006
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",15,clean,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",15,prefix_a,0,100,180040
horizon,cube,cem_final,"{""B"":100,""H"":100,""arm"":""cem_final"",""iterations"":30}",15,prefix_b,0,100,180040
